number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y;
5.5 rooms ; 282 m² ; Duplex;Multergasse 14; 9000 St. Gallen;Spectacular city views;Bright with large windows;Spacious open living area;CHF 4,400.-;CHF 187 / m² / year;
2.5 rooms ; 59 m² ; Apartment;Haldenstrasse 17; 9000 St. Gallen;Bright with large windows;Low-maintenance laminate floors;Green surroundings nearby shops;CHF 1,350.-;CHF 275 / m² / year;
2.5 rooms ; 66 m² ; Apartment;Falkensteinstrasse 15; 9000 St. Gallen;Central location;Lockable cellar compartment;New furniture available;CHF 1,620.-;CHF 295 / m² / year;
1 room ; 20 m² ; Apartment;Rorschacher Strasse 50a; 9000 St. Gallen;Modern kitchen appliances;Spacious windows for light;Central location with lift;CHF 810.-;CHF 486 / m² / year;
1 room ; 19 m² ; Apartment;Müller-Friedberg-Strasse 14; 9000 St. Gallen;Historic Jugendstil charm;Spacious garden seating;5 min to train station;CHF 1,065.-;CHF 673 / m² / year;
4.5 rooms ;; Apartment;Iddastrasse 40; 9008 St. Gallen;Bright, airy living spaces;Direct access to balcony;Two modern bathrooms;CHF 1,500.-;—;
2.5 rooms ; 70 m² ; Apartment;Gallusstrasse 41; 9000 St. Gallen;Modern and charming;Quiet neighborhood;Large window;CHF 1,489.-;CHF 255 / m² / year;
1.5 rooms ;; Apartment;Riethüslistrasse 6; 9012 St. Gallen;Renovated kitchen amenities;Convenient transport access;Cozy balcony for relaxation;CHF 920.-;—;
1 room ; 32 m² ; Apartment;Schönaustrasse 73; 9000 St. Gallen;Bright bathroom with daylight;Convenient lift access;Storage space available;CHF 790.-;CHF 296 / m² / year;
2.5 rooms ; 64 m² ; Apartment;Bürglistrasse 4; 9000 St. Gallen;Charming living room;Spacious kitchen amenities;Sunny balcony retreat;CHF 1,660.-;CHF 311 / m² / year;
3 rooms ;; Apartment;Guisanstrasse 68; 9010 St. Gallen;Sunny balcony for relaxation;Bathroom with window;Close to St. Gallen Uni;CHF 1,330.-;—;
1 room ;; Apartment;Redingstrasse 8; 9000 St. Gallen;Spacious hallway storage;Bright room with kitchen;Balcony with city view;CHF 790.-;—;
2 rooms ; 38 m² ; Apartment;Rickenstrasse 20; 9014 St. Gallen;Spacious living area;Modern kitchen appliances;Close to public transport;CHF 1,200.-;CHF 379 / m² / year;
2 rooms ;; Studio;Rosenbergstrasse; 9000 St. Gallen;All utilities included;Private kitchen and bath;5 min walk to city center;CHF 900.-;—;
2.5 rooms ; 60 m² ; Furnished apartment;Webergasse 23; 9000 St. Gallen;Fully furnished & stylish;All-inclusive amenities;Bi-weekly cleaning service;CHF 1,850.-;CHF 370 / m² / year;
2.5 rooms ; 60 m² ; Furnished apartment;Wildeggstrasse 16; 9000 St. Gallen;All-inclusive living;Stylish furnished spaces;Regular cleaning service;CHF 1,950.-;CHF 390 / m² / year;
3.5 rooms ; 80 m² ; Furnished apartment;Wildeggstrasse 16; 9000 St. Gallen;All-inclusive utilities;Bi-weekly cleaning service;Cozy balcony with seating;CHF 1,950.-;CHF 293 / m² / year;
1.5 rooms ; 36 m² ; Furnished apartment;Webergasse 23; 9000 St. Gallen;All-inclusive utilities;Weekly cleaning service;Central location in old town;CHF 1,650.-;CHF 550 / m² / year;
2.5 rooms ; 49 m² ; Apartment;Brühlgasse; 9000 St. Gallen;Cozy balcony with courtyard view;Modern kitchen with appliances;Charming fireplace in living room;CHF 1,320.-;CHF 323 / m² / year;
